"Reference","Value","Datasheet","Footprint","Qty","DNP"
"ABL1,FAN1,FAN2,FAN3,THM1,THM2,THM3,Z_END1","B2B-XH-A",,"B2B-XH-A:JST_B2B-XH-A","8",
"BED1,HOTEND1","1751248",,"Phoenix 1751248:PHOENIX_1751248","2",
"C1,C2,C3,C4","A750MV477M1VAAE018","A750MV477M1VAAE018","footprints:CAP_A750MV477M1VAAE018_KEM","4",
"C5,C6,C7","GCM155R71H104KE02J",,"GCM155R71H104KE02J:CAPC1005X55N","3",
"DEBUG1","Conn_01x04_Pin","~","PinHeader:PinHeader_1x04_P2.54mm_Vertical","1",
"J1","DX07S024JJ3R1300",,"DX07S024JJ3R1300:JAE_DX07S024JJ3R1300","1",
"M1,M2,M3","AO3400A",,"AO3400A:SOT95P280X125-3N","3",
"MCU1","STM32H563VITx","https://www.st.com/resource/en/datasheet/stm32h563vi.pdf","Package_QFP:LQFP-100_14x14mm_P0.5mm","1",
"MOTOR_E1,MOTOR_X1,MOTOR_Y1,MOTOR_Z1","B4B-XH-A",,"B4B-XH-A:JST_B4B-XH-A","4",
"PWR1","PJ-102B",,"PJ-102B:CUI_PJ-102B","1",
"Q1,Q2","IRFH7440TRPBF",,"IRFH7440TRPBF:TRANS_FDMS86202","2",
"R1,R2,R3,R4,R5,R6","RC1206JR-134K7L",,"RC1206JR-134K7L:RESC3216X65","6",
"R7","RC0603FR-131KL",,"RC0603FR-131KL:0603","1",
"R8,R9","RMCF0805JT5K10","~","RMCF0805JT5K10:RESC2012X65N","2",
"REN1","PEC11H-4015F-S0016","PEC11H-4015F-S0016","PinHeader:PinHeader_1x04_P2.54mm_Vertical","1",
"SCRN1","SSD1306",,"PinHeader:PinHeader_1x04_P2.54mm_Vertical","1",
"U1","LM2576S-3.3_NOPB",,"LM2576S-3.3_NOPB:VREG_TPS79625KTTR","1",
"U2,U3,U4,U5","TMC2209_SILENTSTEPSTICK",,"TMC2209_SILENTSTEPSTICK:MODULE_TMC2209_SILENTSTEPSTICK","4",
